origen,destino,tipo_dia,viajes
14038,29067,laborable,1929.707
18087,41091,laborable,1928.413
FR102,29067,laborable,1908.232
11016,41091,festivo,1879.684
21007_AM,41091,laborable,1874.445
29002_AM,29067,laborable,1872.014
PT170,29067,laborable,1848.845
18087,41091,festivo,1848.642
FR102,41091,laborable,1825.613
41091,29067,festivo,1813.224
41015,41091,festivo,1799.083
29089_AM,29067,laborable,1789.225
41006,41091,laborable,1765.537
11033,29067,laborable,1760.382
41025_AM,41091,laborable,1748.478
29902,29067,festivo,1726.223
04013,29067,laborable,1715.727
41041_AM,41091,laborable,1702.042
11015,41091,festivo,1693.478
29076_AM,29067,laborable,1688.537
29067,41091,festivo,1686.646
29086_AM,29067,laborable,1676.345
41092,41091,festivo,1661.212
18017,29067,laborable,1659.472
41063,41091,laborable,1658.963
41020,41091,festivo,1658.317
FR104,29067,laborable,1655.335
11004,41091,laborable,1654.278
41902,41091,laborable,1651.525
41903,41091,laborable,1640.954
41101,41091,festivo,1640.075
41036,41091,laborable,1627.752
21007_AM,41091,festivo,1620.346
29097,29067,festivo,1594.41
11030,41091,festivo,1560.24
06015,41091,laborable,1528.181
11030,41091,laborable,1522.447
29018_AM,29067,festivo,1495.167
29095_AM,29067,laborable,1492.559
21044,41091,laborable,1475.227
11004,29067,festivo,1472.944
29100,29067,laborable,1470.979
11022,29067,laborable,1467.347
18122_AM,29067,laborable,1464.065
29068,29067,laborable,1459.17
41056,41091,laborable,1436.698
21002,41091,laborable,1432.362
21074_AM,41091,laborable,1431.254
41032_AM,41091,festivo,1428.594
29017,29067,festivo,1422.891
41097,41091,laborable,1422.452
11006,41091,laborable,1395.67
29072,29067,festivo,1387.445
21050,41091,laborable,1375.004
29031_AM,29067,laborable,1348.846
41033_AM,41091,laborable,1324.658
29072,29067,laborable,1306.871
11031,41091,festivo,1274.221
06083,41091,laborable,1262.183
29032,29067,festivo,1261.976
29083_AM,29067,festivo,1259.511
11041,41091,laborable,1256.073
11016,41091,laborable,1247.332
21040_AM,41091,festivo,1239.3799999999999
21055,41091,laborable,1237.653
21010,41091,laborable,1214.738
14038,29067,festivo,1211.753
29055,29067,laborable,1193.436
41012,41091,festivo,1185.518
21069_AM,41091,festivo,1172.002
29079,29067,laborable,1168.044
21044,41091,festivo,1166.6490000000001
29002_AM,29067,festivo,1163.048
29040,29067,festivo,1156.368
14056,29067,laborable,1135.527
08019,41091,laborable,1134.337
21060,41091,laborable,1133.852
11037,41091,laborable,1119.137
21042,41091,laborable,1117.99
21021,41091,laborable,1116.636
21013,41091,festivo,1104.96
29096,29067,festivo,1103.972
41071,41091,festivo,997.7379999999999
06085_AM,41091,laborable,997.013
41013,41091,festivo,976.104
23050,29067,laborable,968.611
29005,29067,festivo,956.634
29073_AM,29067,festivo,935.368
21061,41091,laborable,930.402
21054,41091,festivo,929.43
41077,41091,festivo,925.607
